0.133, 0.087, 0.048, 0.01, 0.017, 0.033
0.185, 0.05, 0.047, 0.01, 0.02, 0.034
0.107, 0.031, 0.051, 0.008, 0.028, 0.027
0.152, 0.033, 0.041, 0.009, 0.017, 0.032
0.121, 0.151, 0.054, 0.014, 0.02, 0.037
0.121, 0.033, 0.04, 0.008, 0.015, 0.027
0.16, 0.039, 0.045, 0.007, 0.018, 0.031
0.138, 0.035, 0.038, 0.016, 0.021, 0.045
0.135, 0.056, 0.079, 0.009, 0.017, 0.029
0.128, 0.038, 0.042, 0.009, 0.019, 0.033
0.139, 0.029, 0.038, 0.023, 0.02, 0.047
0.104, 0.036, 0.032, 0.01, 0.019, 0.036
0.145, 0.04, 0.043, 0.009, 0.017, 0.033
0.131, 0.089, 0.051, 0.012, 0.021, 0.037
0.119, 0.505, 0.038, 0.011, 0.018, 0.032
0.148, 0.042, 0.048, 0.011, 0.02, 0.036
0.136, 0.048, 0.044, 0.013, 0.018, 0.036
0.132, 0.033, 0.04, 0.007, 0.016, 0.027
0.117, 0.044, 0.042, 0.009, 0.017, 0.032
0.116, 0.036, 0.04, 0.011, 0.017, 0.033
0.115, 0.029, 0.028, 0.008, 0.017, 0.028
0.146, 0.041, 0.044, 0.012, 0.02, 0.035
0.138, 0.035, 0.036, 0.037, 0.026, 0.065
0.103, 0.025, 0.028, 0.009, 0.016, 0.026
0.13, 0.028, 0.061, 0.009, 0.018, 0.031
0.142, 0.034, 0.035, 0.017, 0.022, 0.045
0.103, 0.024, 0.028, 0.008, 0.015, 0.027
0.113, 0.026, 0.027, 0.021, 0.017, 0.033
0.117, 0.076, 0.031, 0.016, 0.018, 0.04
0.128, 0.028, 0.027, 0.009, 0.016, 0.03
0.111, 9.449, 0.086, 0.065, 0.018, 0.053
1.736, 0.402, 0.028, 0.021, 0.036, 0.051
2.368, 0.705, 0.037, 0.008, 0.016, 0.038
0.12, 0.043, 0.031, 0.012, 0.023, 0.041
0.129, 0.042, 0.032, 0.011, 0.019, 0.034
0.105, 0.022, 0.026, 0.007, 0.016, 0.025
0.115, 0.034, 0.029, 0.008, 0.016, 0.03
0.117, 0.025, 0.033, 0.012, 0.018, 0.035
0.1, 0.022, 0.026, 0.007, 0.015, 0.026
0.128, 0.028, 0.029, 0.008, 0.016, 0.028
0.116, 0.034, 0.046, 0.009, 0.016, 0.029
0.108, 0.024, 0.028, 0.006, 0.016, 0.026
0.111, 0.043, 0.033, 0.01, 0.017, 0.032
0.134, 0.049, 0.036, 0.009, 0.019, 0.034
0.106, 0.021, 0.026, 0.008, 0.015, 0.026
0.108, 0.037, 0.031, 0.009, 0.017, 0.03
0.108, 0.038, 0.048, 0.013, 0.017, 0.033
0.11, 0.033, 0.03, 0.008, 0.017, 0.027
0.108, 0.045, 0.035, 0.01, 0.018, 0.035
0.148, 0.062, 0.04, 0.009, 0.019, 0.033
0.106, 0.048, 0.028, 0.012, 0.021, 0.04
0.11, 0.035, 0.03, 0.01, 0.018, 0.034
0.118, 0.032, 0.043, 0.01, 0.03, 0.037
0.102, 0.026, 0.025, 0.009, 0.017, 0.031
0.107, 0.033, 0.031, 0.01, 0.017, 0.033
0.116, 0.031, 0.044, 0.012, 0.017, 0.035
0.114, 0.05, 0.041, 0.012, 0.018, 0.045
0.125, 0.032, 0.034, 0.012, 0.032, 0.042
0.106, 0.028, 0.031, 0.011, 0.017, 0.047
0.115, 0.026, 0.029, 0.009, 0.017, 0.029
0.123, 0.03, 0.029, 0.008, 0.017, 0.031
0.11, 0.034, 0.029, 0.017, 0.018, 0.038
0.108, 0.033, 0.031, 0.01, 0.022, 0.034
0.099, 0.017, 0.035, 0.011, 0.02, 0.036
0.125, 0.096, 0.042, 0.015, 0.038, 0.056
0.108, 0.011, 0.029, 0.009, 0.02, 0.03
0.137, 0.035, 0.032, 0.011, 0.02, 0.036
0.14, 0.042, 0.037, 0.01, 0.02, 0.04
0.099, 0.037, 0.031, 0.009, 0.017, 0.03
0.122, 0.039, 0.032, 0.01, 0.017, 0.033
0.114, 0.041, 0.033, 0.011, 0.017, 0.033
0.1, 0.027, 0.029, 0.01, 0.016, 0.03
